PX,PX_TYPE
24145,CH
24147,CH
24149,CH
24150,CH
24151,CH
24152,CH
24153,CH
24155,CH
24160,CH
24164,CH
24301,CH
24305,CH
24310,CH
24320,CH
24330,CH
24331,CH
24332,CH
24340,CH
24341,CH
24342,CH
24343,CH
24344,CH
24345,CH
24346,CH
24350,CH
24351,CH
24352,CH
24354,CH
24356,CH
24358,CH
24359,CH
24360,CH
24361,CH
24362,CH
24363,CH
24365,CH
24366,CH
24370,CH
24371,CH
24400,CH
24410,CH
24420,CH
24430,CH
24435,CH
24470,CH
24495,CH
24498,CH
24515,CH
24516,CH
24545,CH
24546,CH
24575,CH
24579,CH
24586,CH
24587,CH
24615,CH
24635,CH
24665,CH
24666,CH
24685,CH
24800,CH
24802,CH
24900,CH
24920,CH
24925,CH
24930,CH
24931,CH
24935,CH
24940,CH
25000,CH
25001,CH
25020,CH
25023,CH
25024,CH
25025,CH
25035,CH
25040,CH
25073,CH
25076,CH
25077,CH
25078,CH
25085,CH
25101,CH
25105,CH
25107,CH
25109,CH
25110,CH
25111,CH
25112,CH
25115,CH
25116,CH
25118,CH
25119,CH
25120,CH
25125,CH
25126,CH
25130,CH
25135,CH
25136,CH
25145,CH
25150,CH
25151,CH
25170,CH
25210,CH
25215,CH
25230,CH
25240,CH
25250,CH
25251,CH
25260,CH
25263,CH
25265,CH
25270,CH
25272,CH
25274,CH
25275,CH
25280,CH
25290,CH
25295,CH
25300,CH
25301,CH
25310,CH
25312,CH
25315,CH
25316,CH
25320,CH
25332,CH
25335,CH
25337,CH
25350,CH
25355,CH
25360,CH
25365,CH
25370,CH
25375,CH
25390,CH
25391,CH
25392,CH
25393,CH
25394,CH
25400,CH
25405,CH
25415,CH
25420,CH
25425,CH
25426,CH
25430,CH
25431,CH
25440,CH
25441,CH
25442,CH
25443,CH
25444,CH
25445,CH
25446,CH
25447,CH
25449,CH
25450,CH
25455,CH
25490,CH
25491,CH
25492,CH
25515,CH
25525,CH
25526,CH
25545,CH
25574,CH
25575,CH
25607,CH
25608,CH
25609,CH
25611,CH
25620,CH
25628,CH
25645,CH
25652,CH
25670,CH
25676,CH
25685,CH
25695,CH
25800,CH
25805,CH
25810,CH
25820,CH
25825,CH
25830,CH
25900,CH
25905,CH
25907,CH
25909,CH
25915,CH
25920,CH
25922,CH
25924,CH
25927,CH
25929,CH
25931,CH
26034,CH
26035,CH
26037,CH
26040,CH
26045,CH
26055,CH
26060,CH
26070,CH
26075,CH
26080,CH
26113,CH
26116,CH
26117,CH
26118,CH
26121,CH
26123,CH
26130,CH
26135,CH
26140,CH
26145,CH
26160,CH
26170,CH
26180,CH
26185,CH
26200,CH
26205,CH
26210,CH
26215,CH
26230,CH
26235,CH
26236,CH
26250,CH
26255,CH
26260,CH
26261,CH
26262,CH
26320,CH
26350,CH
26352,CH
26356,CH
26357,CH
26358,CH
26370,CH
26372,CH
26373,CH
26390,CH
26392,CH
26410,CH
26412,CH
26415,CH
26416,CH
26418,CH
26420,CH
26426,CH
26428,CH
26432,CH
26433,CH
26434,CH
26437,CH
26440,CH
26442,CH
26445,CH
26449,CH
26450,CH
26455,CH
26460,CH
26471,CH
26474,CH
26476,CH
26477,CH
26478,CH
26479,CH
26480,CH
26483,CH
26485,CH
26489,CH
26490,CH
26492,CH
26494,CH
26496,CH
26497,CH
26498,CH
26499,CH
26500,CH
26502,CH
26504,CH
26508,CH
26510,CH
26516,CH
26517,CH
26518,CH
